date,median,95_ci,05_ci,param,age_group,num_diseased
2020-05-02,1.0486329218878134,1.056178789432132,1.041193008631008,contact_rate,50-59,1651.0
2020-05-03,1.0486974612763178,1.0559660902321124,1.0410817700468953,contact_rate,50-59,1651.0
2020-05-04,1.048450794620549,1.0557835554302957,1.0404094635333974,contact_rate,50-59,1651.0
2020-05-05,1.0489465717994215,1.056453689230822,1.0409557429719853,contact_rate,50-59,1651.0
2020-05-06,1.0490396728509241,1.0561996115413568,1.0410954791073526,contact_rate,50-59,1651.0
2020-05-07,1.0478672707481278,1.0550162238375438,1.0398161319751695,contact_rate,50-59,1651.0
2020-05-08,1.047498214188991,1.0553364255968312,1.0395360670172784,contact_rate,50-59,1651.0
2020-05-09,1.0468631534039616,1.0544012506934792,1.0392083617083392,contact_rate,50-59,1651.0
2020-05-10,1.0462263639716451,1.0539840885808087,1.0383888816198097,contact_rate,50-59,1651.0
2020-05-11,1.0456439822533001,1.0533726322197263,1.0378582270783099,contact_rate,50-59,1651.0
2020-05-12,1.045053716364822,1.0526584865513335,1.0369046481142823,contact_rate,50-59,1651.0
2020-05-13,1.0433861019466937,1.050912297860814,1.0357199052739106,contact_rate,50-59,1651.0
2020-05-14,1.0421555244620397,1.0498797594759897,1.0344632370535332,contact_rate,50-59,1651.0
2020-05-15,1.0413163872261257,1.049195780804891,1.0337855126072808,contact_rate,50-59,1651.0
2020-05-16,1.0422113805043063,1.0501542445376713,1.034460597861755,contact_rate,50-59,1651.0
2020-05-17,1.0404577406475424,1.0487255686408792,1.033209515452632,contact_rate,50-59,1651.0
2020-05-18,1.0402320589891714,1.0486122360053673,1.0325198156215205,contact_rate,50-59,1651.0
2020-05-19,1.0397684177313073,1.0481985509692142,1.032100116845866,contact_rate,50-59,1651.0
2020-05-20,1.0412999148455229,1.049989984817535,1.0337540289395035,contact_rate,50-59,1651.0
2020-05-21,1.0404131095820528,1.0493468911915322,1.0328018251374824,contact_rate,50-59,1651.0
2020-05-22,1.03976935764122,1.0481914316180432,1.031964813215321,contact_rate,50-59,1651.0
2020-05-23,1.0394816903914512,1.0481078271258601,1.0318851812134944,contact_rate,50-59,1651.0
2020-05-24,1.0388333517522204,1.0472307800260188,1.0312647102725245,contact_rate,50-59,1651.0
2020-05-25,1.0386815695753264,1.0470624982900176,1.031640660293281,contact_rate,50-59,1651.0
2020-05-26,1.0395493702823495,1.0478092997851256,1.0322621394859057,contact_rate,50-59,1651.0
2020-05-27,1.0383275812147637,1.0463223883368762,1.0311312662371996,contact_rate,50-59,1651.0
2020-05-28,1.0399485647108109,1.0478384138732384,1.0331063846737205,contact_rate,50-59,1651.0
2020-05-29,1.0447404663941569,1.0527254304369558,1.0376651042475142,contact_rate,50-59,1651.0
2020-05-30,1.0436312429502532,1.0517994302788978,1.0361769538403616,contact_rate,50-59,1651.0
2020-05-31,1.0424809688993335,1.0507488463559673,1.0355865823732255,contact_rate,50-59,1651.0
2020-06-01,1.0411313801399213,1.0494723609502585,1.0336778908879087,contact_rate,50-59,1651.0
2020-06-02,1.0400481175500638,1.0482873768443077,1.032553707222506,contact_rate,50-59,1651.0
2020-06-03,1.0395223066053325,1.0479369546888895,1.0322427427179062,contact_rate,50-59,1651.0
2020-06-04,1.038854694438276,1.0473388177596679,1.0309884508473612,contact_rate,50-59,1651.0
2020-06-05,1.036865526383644,1.0460554040012813,1.0294022098653386,contact_rate,50-59,1651.0
2020-06-06,1.0351045618137948,1.04425644479201,1.0272238603546762,contact_rate,50-59,1651.0
